RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000083248	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083251	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083253	1	0	0	1	0	0	0	0	1	0	1	0	5	0	2
ENSMUSG00000083254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083257	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0
ENSMUSG00000083258	2	1	2	2	1	0	1	0	0	1	1	0	1	4	2
ENSMUSG00000083260	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083261	127	112	36	65	57	32	29	40	44	19	30	51	35	31	28
ENSMUSG00000083262	0	4	0	0	1	0	1	1	4	0	1	0	2	0	1
ENSMUSG00000083263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083267	4	0	0	0	0	3	0	0	0	0	2	0	7	0	0
ENSMUSG00000083268	0	6	2	0	2	0	0	0	1	1	1	2	0	1	3
ENSMUSG00000083269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083270	2	2	1	1	1	4	2	1	3	4	6	1	2	2	2
ENSMUSG00000083271	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083275	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0
ENSMUSG00000083276	1	0	1	0	0	1	0	2	0	0	2	0	0	0	0
ENSMUSG00000083277	0	0	0	0	0	0	0	0	1	0	7	0	1	0	1
ENSMUSG00000083278	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083280	0	1	0	0	3	0	0	1	0	1	0	0	2	0	0
ENSMUSG00000083281	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0
ENSMUSG00000083282	18	1	0	21	40	58	6	10	2	3	11	9	42	8	27
ENSMUSG00000083283	167	165	139	258	275	172	172	210	194	75	118	79	125	130	196
ENSMUSG00000083284	5	2	1	1	0	4	2	2	0	1	1	0	2	1	1
ENSMUSG00000083285	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083287	4	12	2	1	0	2	6	1	2	1	0	1	3	0	1
ENSMUSG00000083288	0	0	1	0	0	0	0	0	0	4	0	0	3	1	0
ENSMUSG00000083289	3	4	2	4	1	2	0	1	1	0	1	1	0	0	1
ENSMUSG00000083290	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083291	4	2	3	2	4	4	3	1	8	3	1	2	5	2	4
ENSMUSG00000083292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083294	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083299	4	0	7	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083300	0	0	2	1	2	1	2	0	2	0	1	2	0	0	4
ENSMUSG00000083303	1	1	0	0	0	1	0	2	1	1	2	0	1	0	0
ENSMUSG00000083304	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083305	0	2	1	4	2	1	6	5	1	0	3	1	2	1	1
ENSMUSG00000083306	46	96	12	6	16	1	8	14	28	22	24	39	29	21	46
ENSMUSG00000083307	20	15	8	35	35	35	25	31	57	15	21	11	45	8	48
ENSMUSG00000083309	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2
ENSMUSG00000083310	2	3	1	1	2	1	2	6	3	1	0	0	4	0	2
ENSMUSG00000083311	5	5	0	2	1	2	4	6	5	3	1	1	5	4	3
ENSMUSG00000083312	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000083314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000083317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083318	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1
ENSMUSG00000083319	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083320	8	11	10	7	5	11	13	14	10	9	6	5	9	9	11
ENSMUSG00000083321	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
ENSMUSG00000083324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083325	2	7	2	5	4	3	6	2	7	1	1	3	0	4	4
ENSMUSG00000083326	19	16	13	19	12	14	17	24	18	10	13	9	16	18	18
ENSMUSG00000083327	102	132	105	137	124	110	128	136	129	120	101	74	140	119	149
ENSMUSG00000083328	17	17	16	11	10	14	12	12	12	6	16	11	6	7	15
ENSMUSG00000083329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083332	1	0	1	1	0	0	3	1	2	2	1	0	1	1	1
ENSMUSG00000083333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083334	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000083335	2	2	1	4	0	2	0	0	2	0	2	1	1	2	1
ENSMUSG00000083336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083337	126	94	90	99	94	125	77	110	81	74	79	47	77	61	71
ENSMUSG00000083338	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1
ENSMUSG00000083339	13	13	2	9	11	0	0	1	2	4	10	8	6	8	15
ENSMUSG00000083340	7	6	5	6	5	0	1	4	3	1	2	2	8	5	11
ENSMUSG00000083341	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0
ENSMUSG00000083342	3	0	0	1	0	0	1	0	2	0	0	2	1	0	0
ENSMUSG00000083343	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083344	40	23	12	28	21	17	18	25	22	14	27	16	31	26	28
ENSMUSG00000083345	5	1	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMUSG00000083346	3	0	0	0	0	1	1	1	0	5	2	1	0	4	1
ENSMUSG00000083347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083350	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083351	1	0	0	0	1	0	0	0	1	0	0	1	0	0	3
ENSMUSG00000083352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083353	0	4	0	4	2	1	1	3	5	0	1	9	3	6	6
ENSMUSG00000083355	0	0	0	0	0	0	2	0	0	0	0	1	3	0	0
ENSMUSG00000083356	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083359	3	3	0	0	0	1	1	0	0	0	1	3	1	0	1
ENSMUSG00000083361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083362	14	18	23	29	15	20	14	24	11	15	12	17	23	15	18
ENSMUSG00000083363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083364	67	64	57	85	83	55	91	117	99	56	53	49	52	55	81
ENSMUSG00000083365	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083367	42	68	36	57	60	74	72	84	61	45	37	50	64	39	42
ENSMUSG00000083368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083371	1	0	0	0	0	2	0	0	0	0	2	0	1	0	0
ENSMUSG00000083372	0	0	2	0	1	0	0	0	0	1	0	1	0	1	2
ENSMUSG00000083373	0	0	0	0	0	1	2	0	0	1	3	0	0	1	0
ENSMUSG00000083374	15	14	21	37	32	36	20	39	31	9	16	9	16	18	16
ENSMUSG00000083375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083376	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083378	11	11	5	9	3	5	4	7	8	4	7	2	7	11	8
ENSMUSG00000083379	0	0	0	0	0	0	0	1	1	0	2	1	0	0	1
ENSMUSG00000083380	21	12	19	15	21	32	17	33	20	19	24	15	30	13	22
ENSMUSG00000083381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083382	3	3	9	2	4	2	7	9	8	3	8	2	3	6	3
ENSMUSG00000083383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083384	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083385	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083387	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083388	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
ENSMUSG00000083389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083390	1	7	4	6	6	2	8	12	9	8	9	5	6	8	4
ENSMUSG00000083391	4	7	5	6	3	23	32	23	15	8	12	5	17	8	12
ENSMUSG00000083392	13	6	3	5	2	5	2	4	10	3	2	2	5	6	3
ENSMUSG00000083393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083394	24	17	18	20	9	17	12	8	14	9	16	9	18	6	15
ENSMUSG00000083395	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1
ENSMUSG00000083396	222	200	68	107	69	57	63	79	103	58	66	93	93	66	129
ENSMUSG00000083397	6	12	13	0	1	0	5	3	6	0	5	1	1	0	0
ENSMUSG00000083398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083399	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0
ENSMUSG00000083401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083404	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0
ENSMUSG00000083405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083411	279	303	393	253	128	182	188	281	247	191	214	79	179	181	211
ENSMUSG00000083412	14	16	9	2	4	1	1	1	2	0	2	1	1	9	9
ENSMUSG00000083413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083414	0	0	1	0	0	1	0	2	1	0	1	2	0	1	0
ENSMUSG00000083416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083421	3	3	0	1	0	3	0	1	0	0	0	0	0	0	0
ENSMUSG00000083422	3	1	2	3	3	0	3	2	2	4	2	5	2	3	1
ENSMUSG00000083423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083424	42	28	27	30	15	24	21	31	24	25	22	10	13	26	30
ENSMUSG00000083425	0	1	0	0	1	1	0	1	3	0	0	0	1	1	0
ENSMUSG00000083427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083428	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083429	5	6	5	2	4	5	3	4	9	6	5	4	3	4	3
ENSMUSG00000083430	0	0	0	0	0	0	0	0	4	0	3	0	2	0	2
ENSMUSG00000083431	1	5	0	3	4	4	2	4	1	2	2	6	0	1	3
ENSMUSG00000083432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083434	5	7	7	3	5	0	1	2	2	6	5	2	2	1	2
ENSMUSG00000083435	8	7	6	5	2	2	0	0	2	1	2	5	6	3	2
ENSMUSG00000083436	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083438	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083439	0	0	0	0	0	1	0	5	2	0	1	1	2	0	0
ENSMUSG00000083440	2	2	1	0	0	1	0	0	1	3	1	1	1	0	5
ENSMUSG00000083441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083443	28	27	25	17	18	10	17	18	14	20	22	11	41	14	15
ENSMUSG00000083444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083449	6	11	1	9	7	4	2	6	7	0	2	2	2	0	1
ENSMUSG00000083450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083454	13	14	10	16	9	12	9	15	18	7	9	4	16	6	7
ENSMUSG00000083455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083457	3	0	1	1	6	5	0	1	0	12	0	4	1	0	2
ENSMUSG00000083458	10	7	3	8	11	11	3	4	7	1	8	7	7	2	5
ENSMUSG00000083460	2	8	6	11	6	14	13	24	11	6	5	7	17	9	6
ENSMUSG00000083461	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
ENSMUSG00000083462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083465	18	30	11	28	21	9	19	18	20	11	11	19	20	10	8
ENSMUSG00000083466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083468	1	0	4	4	1	1	3	0	3	0	1	0	0	1	4
ENSMUSG00000083469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083470	1	0	2	0	0	0	0	0	1	0	0	0	2	0	0
ENSMUSG00000083471	1	2	0	1	1	0	4	2	0	1	0	1	1	1	2
ENSMUSG00000083472	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083473	20	33	9	8	10	0	2	3	2	2	7	5	10	2	12
ENSMUSG00000083474	110	111	65	159	149	115	133	209	181	109	98	173	144	120	141
ENSMUSG00000083475	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000083477	19	16	16	27	12	20	24	37	22	24	18	29	38	19	24
ENSMUSG00000083478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083481	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
ENSMUSG00000083482	1	0	2	2	0	3	3	3	3	0	2	2	0	1	4
ENSMUSG00000083483	390	299	330	326	331	328	310	1528	350	265	293	178	310	255	252
ENSMUSG00000083484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083485	2	0	0	0	2	1	0	0	2	0	1	0	0	0	5
ENSMUSG00000083486	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083488	2	2	1	1	2	0	0	1	2	3	0	0	0	0	3
ENSMUSG00000083489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083494	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000083495	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000083496	64	90	49	50	65	41	32	44	65	41	45	28	43	40	41
ENSMUSG00000083498	8	0	0	1	0	1	0	1	1	0	0	0	4	2	0
ENSMUSG00000083499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083500	7	13	2	0	5	1	0	2	2	2	0	4	0	0	5
ENSMUSG00000083501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083502	3	0	2	0	0	1	2	1	2	0	0	2	1	0	0
ENSMUSG00000083503	5	3	4	5	4	1	1	0	4	1	4	0	2	2	0
ENSMUSG00000083505	17	32	6	5	5	3	1	1	1	5	4	5	6	3	15
ENSMUSG00000083507	1	1	1	0	1	1	2	0	1	1	0	1	1	1	0
ENSMUSG00000083508	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000083509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083510	1	0	0	0	0	6	0	0	0	0	0	0	2	0	0
ENSMUSG00000083512	27	79	16	11	32	9	5	12	20	7	7	9	15	13	17
ENSMUSG00000083513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083516	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083518	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083520	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083522	1	1	0	0	0	0	2	0	2	0	1	0	0	0	0
ENSMUSG00000083524	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083528	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0
ENSMUSG00000083530	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0
ENSMUSG00000083533	13	9	9	19	6	5	12	24	8	12	11	5	25	12	9
ENSMUSG00000083534	0	0	3	0	0	1	0	1	2	1	5	0	3	0	0
ENSMUSG00000083535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083536	2	0	0	0	0	1	1	2	0	0	2	0	1	1	0
ENSMUSG00000083537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083538	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000083539	4	12	10	7	7	8	9	14	3	11	7	7	4	11	7
ENSMUSG00000083541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083545	0	1	0	5	0	0	0	0	0	1	0	1	0	1	1
ENSMUSG00000083546	10	4	9	15	7	4	6	8	3	5	8	5	3	6	7
ENSMUSG00000083547	0	0	2	3	0	0	1	0	0	1	1	3	1	2	1
ENSMUSG00000083548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083549	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083550	0	0	0	0	0	0	0	0	0	3	4	3	0	0	0
ENSMUSG00000083551	3	0	1	2	0	1	1	1	0	1	0	2	8	1	1
ENSMUSG00000083553	8	6	4	7	13	8	9	11	10	8	6	5	4	9	7
ENSMUSG00000083554	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSMUSG00000083555	3	4	0	4	4	5	0	2	2	2	1	0	4	1	8
ENSMUSG00000083556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083557	7	10	3	13	16	3	3	8	9	2	2	7	4	6	10
ENSMUSG00000083558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083561	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000083562	1	0	0	0	1	1	0	2	0	0	0	0	1	0	0
ENSMUSG00000083563	181	172	96	229	178	124	124	171	167	79	84	139	104	88	131
ENSMUSG00000083564	1	1	0	1	1	0	0	1	0	0	1	0	0	0	1
ENSMUSG00000083565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083567	4	7	4	0	1	0	1	7	6	0	5	1	4	0	0
ENSMUSG00000083568	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000083569	6	10	4	2	2	8	0	3	7	0	4	2	1	0	6
ENSMUSG00000083570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083572	3	1	1	0	1	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000083573	1	0	2	7	2	2	0	1	1	4	0	0	1	3	3
ENSMUSG00000083574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083576	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000083577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083579	10	13	8	4	10	5	3	4	9	6	10	3	6	4	10
ENSMUSG00000083580	1	0	2	1	0	3	2	3	0	0	0	0	1	0	2
ENSMUSG00000083581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083582	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000083584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ENSMUSG00000083587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083588	11	32	6	7	9	14	13	4	17	1	9	13	5	10	13
ENSMUSG00000083590	3	2	0	1	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000083592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000083594	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
ENSMUSG00000083595	10	1	1	2	7	2	1	6	2	2	3	2	0	3	1
ENSMUSG00000083596	27	34	26	30	11	19	13	16	17	14	19	8	19	12	9
ENSMUSG00000083597	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083601	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0
ENSMUSG00000083602	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000083603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083606	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083610	21	14	17	9	17	10	12	20	10	22	29	15	26	27	22
ENSMUSG00000083611	2	0	1	2	2	2	0	0	0	1	1	1	2	0	0
ENSMUSG00000083613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083614	2	2	2	0	3	0	0	0	0	0	2	0	0	0	1
ENSMUSG00000083615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083618	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000083619	1	2	0	0	1	0	0	0	1	0	2	2	1	0	0
ENSMUSG00000083620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083621	817	766	637	383	348	453	552	720	568	378	472	281	399	275	515
ENSMUSG00000083622	1	0	0	0	1	1	0	0	2	2	1	0	3	1	1
ENSMUSG00000083623	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1
ENSMUSG00000083624	2	1	0	1	1	1	0	1	1	0	3	0	1	0	1
ENSMUSG00000083625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083626	64	68	54	58	56	78	120	132	117	73	81	84	74	73	88
ENSMUSG00000083627	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0
ENSMUSG00000083628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083629	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
